Page Name,Disclaimer,Amount Spent,Number of Ads in Library
Чёрный пиар в Кривом Роге,Максим Федорченко,≤100,1
Команда Зеленського у Дубно,These ads ran without a disclaimer,≤100,1
Андрій Цибульський,Цибульський Андрій,≤100,2
Днепр сейчас,These ads ran without a disclaimer,≤100,1
Sofies_cups,These ads ran without a disclaimer,≤100,2
Івано-Франківська Крайова організація НРУ,These ads ran without a disclaimer,≤100,6
Князева Николь World Champion,These ads ran without a disclaimer,≤100,1
Family Gold Masters,These ads ran without a disclaimer,≤100,2
Петришин Роман Іванович,These ads ran without a disclaimer,≤100,1
Project Management Day,These ads ran without a disclaimer,≤100,1
Милько Александр,These ads ran without a disclaimer,≤100,6
Бессмертный полк Украина,These ads ran without a disclaimer,≤100,1
ПРАВИЙ СЕКТОР Одеса,These ads ran without a disclaimer,≤100,2
ВО "Свобода" Києво-Святошинського району,Микула Руслан,≤100,1
Мебельная фабрика "Гермес",These ads ran without a disclaimer,≤100,2
ПРАВИЙ СЕКТОР / Київ,These ads ran without a disclaimer,≤100,1
ГазНаш,These ads ran without a disclaimer,≤100,1
Новомосковск без Нестера,These ads ran without a disclaimer,≤100,3
Ok.Gural,These ads ran without a disclaimer,≤100,2
24-online,These ads ran without a disclaimer,≤100,2
Времена,These ads ran without a disclaimer,≤100,1
44.ua - Сайт города Киева,These ads ran without a disclaimer,≤100,1
Бизнес Арена,These ads ran without a disclaimer,≤100,2
Юрій Кармазін,Юрій Кармазін,≤100,1
ПРАВИЙ СЕКТОР Вінниця,These ads ran without a disclaimer,≤100,1
Резонанс,These ads ran without a disclaimer,≤100,6
MediaOsvita,These ads ran without a disclaimer,≤100,6
Микроскоп,These ads ran without a disclaimer,≤100,1
Nano Lybrex,Igor Skrypnik,≤100,3
Сила правди,Юрій Горбач,≤100,2
ХС • Харьков,These ads ran without a disclaimer,≤100,2
Велика Лепетиха обирає,These ads ran without a disclaimer,≤100,1
Київська команда Демократичного Альянсу,These ads ran without a disclaimer,≤100,2
Антон Тимошенко,These ads ran without a disclaimer,≤100,2
Конфедерація будівельників України,These ads ran without a disclaimer,≤100,1
Правий Сектор Рівненщини,These ads ran without a disclaimer,≤100,1
Опозиційна платформа - ЗА ЖИТТЯ. Сумщина,These ads ran without a disclaimer,≤100,4
СДП - Полтавщина,These ads ran without a disclaimer,≤100,1
Телекомпанія "Аверс"/ Avers television company,These ads ran without a disclaimer,≤100,1
Політична партія ВОЛЯ Херсонщина,These ads ran without a disclaimer,≤100,1
Інтернет- видання "Експертна думка",These ads ran without a disclaimer,≤100,5
AlekseyAgeev,These ads ran without a disclaimer,≤100,1
Podkraduli_com,These ads ran without a disclaimer,≤100,1
Группа Chocolate / Cover band Chocolate,These ads ran without a disclaimer,≤100,1
ВибориЛайв,These ads ran without a disclaimer,≤100,2
Unknown Name,These ads ran without a disclaimer,≤100,1
Управління туризму та промоцій Київської міської державної адміністрації,These ads ran without a disclaimer,≤100,1
Serega  Tuchapets,These ads ran without a disclaimer,≤100,2
Infoscope news,These ads ran without a disclaimer,≤100,2
Вільна - незалежна медійна платформа,Yevhen Kulik,≤100,1
Нацдружини - backup,These ads ran without a disclaimer,≤100,2
Интернет-магазин Temnikova,These ads ran without a disclaimer,≤100,1
Коломия Сьогодні,These ads ran without a disclaimer,≤100,1
Морской Дом Аркадия| Marine House Arcadia,These ads ran without a disclaimer,≤100,2
Асоціація газовидобувних компаній України,These ads ran without a disclaimer,≤100,1
Зе Штаб,These ads ran without a disclaimer,≤100,2
Выборы без Выбора,These ads ran without a disclaimer,≤100,9
TovarOnline,These ads ran without a disclaimer,≤100,1
Андріян Гутник,These ads ran without a disclaimer,≤100,2
Непорядна Традиція,These ads ran without a disclaimer,≤100,1
ESTETIC HOUSE,These ads ran without a disclaimer,≤100,2
Apple Power Bank Ipower,These ads ran without a disclaimer,≤100,9
Політична партія "За Життя" - Одеська міська організація,These ads ran without a disclaimer,≤100,3
Люди важливі,These ads ran without a disclaimer,≤100,1
Злі Українці,These ads ran without a disclaimer,≤100,1
Tours & Tickets,These ads ran without a disclaimer,≤100,3
Полный Песец,These ads ran without a disclaimer,≤100,8
ОлешшяNEWS,These ads ran without a disclaimer,≤100,2
НАШI - Одеська область/ НАШИ - Одесская область,These ads ran without a disclaimer,≤100,1
Команда Зеленського у Миколаєві,Oleksandr Korobov,≤100,3
Микола Голомша,These ads ran without a disclaimer,≤100,5
Громадсько-політичний Рух "Справедливість",These ads ran without a disclaimer,≤100,5
Школа політичної аналітики НаУКМА,Фірст Олександр,≤100,1
Melba Culp,These ads ran without a disclaimer,≤100,9
Петр и Мазепа,These ads ran without a disclaimer,≤100,2
Оппозиционная платформа - ЗА ЖИЗНЬ. Донетчина,These ads ran without a disclaimer,≤100,1
Yoosip Shast,These ads ran without a disclaimer,≤100,1
Сергей Кущинский,These ads ran without a disclaimer,≤100,3
Інтернет-газета "Поступ",These ads ran without a disclaimer,≤100,4
Святослав Вакарчук,These ads ran without a disclaimer,≤100,2
Мукачівська міська рада,Мукачівська міська рада,≤100,1
Ефименко Дмитрий Константинович,These ads ran without a disclaimer,≤100,1
KhooK,These ads ran without a disclaimer,≤100,1
I Love Crowdfunding Projects,These ads ran without a disclaimer,≤100,6
Грішин,These ads ran without a disclaimer,≤100,1
SMENA RENT - технический партнер в мире ивента,These ads ran without a disclaimer,≤100,1
Об'єднання "Самопоміч" - Чорноморськ,Об'єднання "Самопоміч" - Чорноморськ,≤100,2
Артур Палатний,These ads ran without a disclaimer,≤100,2
Купизалог Одесса,These ads ran without a disclaimer,≤100,2
Анна Политика,These ads ran without a disclaimer,≤100,1
Соціалістична Партія України,Дарина Сандлер,≤100,2
Рекламное агентство "RG Region",These ads ran without a disclaimer,≤100,4
НЕ свиня,These ads ran without a disclaimer,≤100,3
"Make My Cake, Киев",These ads ran without a disclaimer,≤100,1
Smart&Fun,These ads ran without a disclaimer,≤100,1
StopPoroshenko,These ads ran without a disclaimer,≤100,1
Мир Пижамок,These ads ran without a disclaimer,≤100,2
Иванов  Валерий,These ads ran without a disclaimer,≤100,3
InterVizor.TV,These ads ran without a disclaimer,≤100,2
Інформаційний Акцент,These ads ran without a disclaimer,≤100,4
19' Data,These ads ran without a disclaimer,≤100,1
JAMIE TALKS,These ads ran without a disclaimer,≤100,2
Demus art Studio,These ads ran without a disclaimer,≤100,5
Helen Marlen Group,These ads ran without a disclaimer,≤100,1
DjArashman,These ads ran without a disclaimer,≤100,1
Taras Shkiter,These ads ran without a disclaimer,≤100,4
Сергей Шахов,These ads ran without a disclaimer,≤100,1
Александр Жолобецкий,These ads ran without a disclaimer,≤100,2
hueviy_kiev,These ads ran without a disclaimer,≤100,1
Чистопаб,These ads ran without a disclaimer,≤100,1
